metadata,origin:fort-sterling,destination:aspenwood
move,218.77501,-200.93059
move,219.30423,-199.6572
move,219.68704,-198.47154
move,219.99487,-197.11487
move,220.23766,-195.7202
move,220.44958,-194.3204
move,220.65799,-192.92007
move,220.89244,-191.561
move,221.20103,-190.36636
move,221.64622,-189.02269
move,222.16147,-187.75671
move,222.8252,-186.52103
move,223.54254,-185.51791
move,224.39047,-184.60538
move,225.35947,-183.80373
move,226.52501,-183.04454
move,227.624,-182.4573
move,228.91335,-181.87325
move,230.0554,-181.4385
move,231.22981,-181.05988
move,232.42316,-180.7992
move,233.63605,-180.65295
move,234.94067,-180.58238
move,236.25954,-180.5803
move,237.54176,-180.6095
move,238.77548,-180.64362
move,240.10641,-180.64969
move,241.3639,-180.60384
move,242.80783,-180.45607
move,244.1701,-180.1741
move,245.3738,-179.85178
move,246.51422,-179.41623
move,247.52106,-178.72993
move,248.35422,-177.82182
move,249.0323,-176.79161
move,249.64297,-175.52893
move,250.04083,-174.34853
move,250.30283,-173.15544
move,250.51021,-171.75507
move,250.7315,-170.34473
move,251.109,-169.17198
move,251.85794,-168.01828
move,252.86328,-167.04153
move,253.96379,-166.15103
move,254.91522,-165.38403
move,255.97835,-164.46884
move,256.82773,-163.35548
move,257.4782,-162.09917
move,257.89282,-160.92488
move,258.23557,-159.5639
move,258.49463,-158.3449
move,258.7497,-157.06322
move,258.97067,-155.77536
move,259.16953,-154.38591
move,259.3208,-153.14885
move,259.4435,-151.92085
move,259.53165,-150.65347
move,259.59576,-149.43307
move,259.66058,-148.18845
move,259.7283,-146.95607
move,259.79672,-145.7116
move,259.85944,-144.49112
move,259.91672,-143.25824
move,259.9735,-142.01321
move,260.02255,-140.75578
move,260.05072,-139.53401
move,260.07938,-138.25172
move,260.10712,-137.00575
move,260.13486,-135.75978
move,260.16238,-134.5259
move,260.18958,-133.30411
move,260.21716,-132.07022
move,260.24393,-130.83632
move,260.25986,-129.42075
move,260.26984,-128.02939
move,260.27866,-126.80731
move,260.28766,-125.561035
move,260.29782,-124.15746
move,260.30664,-122.93539
move,260.31253,-121.54391
move,260.30566,-120.33393
move,260.2905,-119.09983
move,260.27332,-117.72054
move,260.26486,-116.304886
move,260.27588,-114.889244
move,260.2963,-113.65522
move,260.3447,-112.107185
move,260.5368,-108.61566
move,260.60397,-107.35914
move,260.68127,-106.01829
move,260.7908,-104.71611
move,260.83374,-103.507835
move,260.782,-102.226295
move,260.7436,-100.92009
move,260.73492,-99.49241
move,260.7799,-98.21075
move,260.8957,-96.96986
move,261.03616,-95.58546
move,261.14752,-94.23489
move,261.17963,-92.880455
move,261.10382,-91.5276
move,260.95978,-90.19231
move,260.7816,-88.83668
move,260.59763,-87.481834
move,260.45166,-86.13456
move,260.3375,-84.76008
move,260.26205,-83.39487
move,260.18597,-82.01758
move,260.14203,-80.61492
move,260.16238,-79.235695
move,260.20245,-77.856895
move,260.25098,-76.45413
move,260.30325,-75.051506
move,260.37573,-73.67403
move,260.49957,-72.31246
move,260.69812,-70.9477
move,261.03372,-69.610565
move,261.5129,-68.304985
move,262.17883,-67.08439
move,262.93634,-65.94648
move,263.83722,-64.88799
move,264.8454,-64.00149
move,265.9129,-63.207085
move,267.0231,-62.518513
move,268.24725,-61.910583
move,269.4889,-61.46942
move,270.78214,-61.155952
move,272.08948,-60.906223
move,273.38828,-60.676792
move,274.67517,-60.44946
move,276.00995,-60.21486
move,277.21405,-60.00588
move,278.4131,-59.769695
move,279.80624,-59.408913
move,280.95416,-58.957237
move,282.2151,-58.264473
move,283.26614,-57.529907
move,284.33212,-56.655003
move,285.21872,-55.814377
move,286.12668,-54.77659
move,286.94327,-53.665325
move,287.6659,-52.448772
move,288.22812,-51.176838
move,288.66574,-49.86894
move,289.0453,-48.53033
move,289.3552,-47.18635
move,289.58176,-45.801533
move,289.71362,-44.41646
move,289.79633,-43.051674
move,289.8727,-41.710747
move,289.94354,-40.369503
move,290.01334,-39.052444
move,290.07227,-37.722775
move,290.10083,-36.31949
move,290.11893,-35.097523
move,290.1353,-33.86343
move,290.1532,-32.520447
move,290.16714,-31.21372
move,290.17355,-29.955341
move,290.1788,-28.721163
move,290.1837,-27.486979
move,290.18796,-26.143877
move,290.19443,-24.861296
move,290.20544,-23.62714
move,290.2199,-22.405125
move,290.23392,-21.158895
move,290.24933,-19.936893
move,290.26636,-18.593903
move,290.2835,-17.347723
move,290.30203,-16.08946
move,290.32318,-14.794932
move,290.33292,-13.524475
move,290.32837,-12.290284
move,290.3216,-11.068205
move,290.3214,-9.809812
move,290.3425,-8.503196
move,290.37787,-7.208984
move,290.42972,-5.927473
move,290.55438,-4.6149635
move,290.85962,-3.396257
move,291.55057,-2.1793792
move,292.60873,-1.236405
move,293.91724,-0.8239573
move,295.32877,-0.7258267
move,296.7199,-0.6939942
move,298.12033,-0.6019354
move,299.3388,-0.5086851
move,300.73944,-0.418448
move,302.12906,-0.34648684
move,303.36234,-0.3002638
move,304.75366,-0.28136832
move,305.98782,-0.28622296
move,307.21,-0.2990346
move,308.61343,-0.31734717
move,310.04095,-0.3385854
move,311.26266,-0.36978018
move,312.4961,-0.4122262
move,313.7054,-0.454539
move,315.133,-0.4754835
move,316.53555,-0.42921704
move,317.94455,-0.29432085
move,319.2385,-0.11190227
move,320.49326,0.087781616
move,321.89777,0.26363462
move,323.28784,0.31501463
move,324.70218,0.25489742
move,325.93384,0.17578413
move,327.21252,0.07595243
move,328.514,-0.042015526
move,329.91943,-0.21112886
move,331.1626,-0.40617105
move,332.39108,-0.61683834
move,333.62033,-0.8226976
move,334.8686,-0.97948575
move,336.11273,-1.0495101
move,337.37073,-1.0333804
move,338.6271,-0.9638803
move,339.8597,-0.9010964
move,341.09366,-0.8772547
move,342.47296,-0.89522433
move,343.7428,-0.93528926
move,345.08417,-1.0034579
move,346.31656,-1.069809
move,347.55,-1.113949
move,348.78293,-1.1689548
move,350.00354,-1.2268863
move,351.2236,-1.2970325
move,352.45605,-1.3613473
move,353.73788,-1.4050827
move,354.99585,-1.4374678
move,356.3265,-1.4136622
move,357.62976,-1.3188484
move,358.87057,-1.2028698
move,360.12405,-1.0917716
move,361.41458,-0.9879872
move,362.0905,-0.9413829
cluster,2565
move,-359.5,-1.758337E-06
move,-358.3856,-0.045710348
move,-357.239,-0.090484194
move,-356.10233,-0.103449576
move,-354.98773,-0.14571223
move,-353.89496,-0.19578688
move,-352.78278,-0.28060493
move,-351.6595,-0.36105317
move,-350.54642,-0.43222046
move,-349.34183,-0.56224644
move,-348.2161,-0.72127765
move,-347.12115,-0.8674097
move,-346.00143,-0.98681766
move,-344.85684,-1.0690897
move,-343.7313,-1.0960383
move,-342.60538,-1.0751083
move,-341.45917,-1.0208849
move,-340.32657,-0.92272866
move,-339.163,-0.81042945
move,-337.9985,-0.7067571
move,-336.8958,-0.6408119
move,-335.74857,-0.61920136
move,-334.55835,-0.6438086
move,-333.36844,-0.6792123
move,-332.25308,-0.6935239
move,-331.09525,-0.73377144
move,-329.91708,-0.7957055
move,-328.7495,-0.85477704
move,-327.6135,-0.89794165
move,-326.45523,-0.9117884
move,-325.27542,-0.92380726
move,-324.12784,-0.9354985
move,-322.94806,-0.9475176
move,-321.76822,-0.9595369
move,-320.63135,-0.97111946
move,-319.48376,-0.98281157
move,-318.33618,-0.994504
move,-317.1993,-1.0060875
move,-316.3895,-1.0143396
move,-315.43582,-0.97200924
move,-314.31073,-0.9220478
move,-313.15347,-0.8706061
move,-312.00693,-0.8196397
